movie_id,mean,count,movie_title
1,4.146846413095811,2077,Toy Story (1995)
2,3.20114122681883,701,Jumanji (1995)
3,3.01673640167364,478,Grumpier Old Men (1995)
4,2.7294117647058824,170,Waiting to Exhale (1995)
5,3.0067567567567566,296,Father of the Bride Part II (1995)
6,3.8787234042553194,940,Heat (1995)
7,3.410480349344978,458,Sabrina (1995)
8,3.014705882352941,68,Tom and Huck (1995)
9,2.656862745098039,102,Sudden Death (1995)
10,3.5405405405405403,888,GoldenEye (1995)
11,3.7938044530493706,1033,"American President, The (1995)"
12,2.3625,160,Dracula: Dead and Loving It (1995)
13,3.2626262626262625,99,Balto (1995)
14,3.542483660130719,153,Nixon (1995)
15,2.458904109589041,146,Cutthroat Island (1995)
16,3.7932551319648096,682,Casino (1995)
17,4.027544910179641,835,Sense and Sensibility (1995)
18,3.337579617834395,157,Four Rooms (1995)
19,2.480719794344473,389,Ace Ventura: When Nature Calls (1995)
20,2.5375,160,Money Train (1995)
21,3.6238938053097347,1356,Get Shorty (1995)
22,3.3492063492063493,378,Copycat (1995)
23,2.857142857142857,126,Assassins (1995)
24,3.1794871794871793,624,Powder (1995)
25,3.6510204081632653,980,Leaving Las Vegas (1995)
26,3.53,100,Othello (1995)
27,2.9344262295081966,61,Now and Then (1995)
28,4.055865921787709,179,Persuasion (1995)
29,4.062034739454094,403,"City of Lost Children, The (1995)"
30,3.6486486486486487,74,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,3.1134751773049647,141,Dangerous Minds (1995)
32,3.945731303772336,1511,Twelve Monkeys (1995)
33,3.0,4,Wings of Courage (1995)
34,3.8914905768132497,1751,Babe (1995)
35,3.3142857142857145,70,Carrington (1995)
36,3.9579741379310347,928,Dead Man Walking (1995)
37,3.5,8,Across the Sea of Time (1995)
38,2.8214285714285716,28,It Takes Two (1995)
39,3.6233480176211454,1362,Clueless (1995)
40,3.933333333333333,30,"Cry, the Beloved Country (1995)"
41,3.958677685950413,242,Richard III (1995)
42,2.8687782805429864,221,Dead Presidents (1995)
43,3.4457831325301207,166,Restoration (1995)
44,2.787781350482315,311,Mortal Kombat (1995)
